Handle,Display Name,DID,Follows Me
garrykasparov.bsky.social,Garry Kasparov,did:plc:xgy5sfmxjpqfamiqskpj3q74,False
meidastouch.bsky.social,MeidasTouch,did:plc:xjc7mkotpenvhh6ffewkdpyn,False
krispowers.bsky.social,Kris Powers,did:plc:v452jaorvhbwrnrlljiirvci,True
antitrump-antifa.bsky.social,AntiTrump_Jan6 🥥🌴,did:plc:7hkmirfjrwkq5pydhmpvplea,True
chqm8.bsky.social,Gracie_the_Chiweenie,did:plc:732isr4rspspsyjhjpvxdmep,True
veryhot.bsky.social,Pictures of beauty,did:plc:2ptarcyy77jnid466bsrwkxo,True
pixiestyxunicorn.bsky.social,PixieStyx,did:plc:nccwgxqg6rb6kx5uqfvq7qyi,False
beautifulcelebs88.bsky.social,Beautiful Celebs,did:plc:dwd3ym6eemqoucinonqsitve,False
celebpump33.bsky.social,,did:plc:h2ju42ljngdhthgwnduhst3a,False
redheadlover168.bsky.social,Boob Lover,did:plc:xaujk33jhlz7izm6sdkhp72q,False
intoxgoonette.bsky.social,GoonetteFriend,did:plc:pmwwnbesjebaqbvwupqcybol,False
ukhotties.bsky.social,UKHotties,did:plc:wjetw5uew4tmefnaxrnduizz,False
taylorlorenz.bsky.social,Taylor Lorenz,did:plc:wo3lxbcfvdptzxyvq3qt2rgj,False
imronijames.com,Roni James,did:plc:qpbhtkbi2ium63l7j2fmusge,False
annabower.bsky.social,Anna Bower,did:plc:t4x2ruk2qmob2b2cx55h4v7r,False
maddow.bsky.social,Rachel Maddow,did:plc:bono5gae7m6r3qpfxomshwbd,False
lincolnproject.bsky.social,The Lincoln Project,did:plc:cxrua73vvgqw4lel4nkccky7,False
carlysgrowingtbr.bsky.social,Carlysgrowingtbr 🇲🇽,did:plc:7jg3zlcj7f7y6vt6nyiymu6k,False
smbrnsn.bsky.social,Sam Brunson,did:plc:esd3kwhloxi7xsnwvzspx7j7,False
gneppikx.bsky.social,Gneppikx,did:plc:jza23jtqzptfbxzngbvygkad,False
adamkinzinger.bsky.social,Adam Kinzinger,did:plc:tsksqpjisdvtusxq6ide5tzj,False
katzonearth.bsky.social,Jonathan M. Katz,did:plc:ieluoyrr7apgy6rw3uo5zk3v,False
tadvish.bsky.social,Ian,did:plc:yc4y2gqlumiffncaf5sm6sqz,False
andrech.bsky.social,soft sub 🤏🍄♥️♨️💃🏻💄♀️♀️,did:plc:pc7bfdlkynba6o4cyzkbeu3e,False
albane.bsky.social,Albane  💦,did:plc:nx4di4wtcofnhkbap3l4l6pn,False
julielenas.bsky.social,🌈 Julie ⚢,did:plc:cquwf7e3j2yvxvx6cjsf343w,False
